tissueType	tumorType
Soft Tissue	Well-Differentiated Liposarcoma (WDLS)
Soft Tissue	Ossifying Fibromyxoid Tumor (OFMT)
Soft Tissue	Alveolar Rhabdomyosarcoma (ARMS)
Soft Tissue	Embryonal Rhabdomyosarcoma (ERMS)
Soft Tissue	Pleomorphic Rhabdomyosarcoma (PLRMS)
Soft Tissue	Spindle Cell Rhabdomyosarcoma (SCRMS)
Soft Tissue	Spindle Cell/Sclerosing Rhabdomyosarcoma (SCSRMS)
Testis	Choriocarcinoma (TCCA)
Testis	Embryonal Carcinoma (EMBCA)
Testis	Mixed Germ Cell Tumor (MGCT)
Testis	Teratoma (TT)
Testis	Teratoma with Malignant Transformation (TMT)
Testis	Yolk Sac Tumor (TYST)
Thymus	Thymic Carcinoma (THYC)
Thymus	Thymoma (THYM)
Thyroid	Follicular Thyroid Cancer (THFO)
Thyroid	Papillary Thyroid Cancer (THPA)
Uterus	Poorly Differentiated Carcinoma of the Uterus (UPDC)
Uterus	Uterine Adenosquamous Carcinoma (UASC)
Uterus	Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor (UCS)
Uterus	Uterine Clear Cell Carcinoma (UCCC)
Uterus	Uterine Dedifferentiated Carcinoma (UDDC)
Uterus	Uterine Endometrioid Carcinoma (UEC)
Uterus	Uterine Mesonephric Carcinoma (UMNC)
Uterus	Uterine Mixed Endometrial Carcinoma (UMEC)
Uterus	Uterine Mucinous Carcinoma (UMC)
Uterus	Uterine Neuroendocrine Carcinoma (UNEC)
Uterus	Uterine Serous Carcinoma/Uterine Papillary Serous Carcinoma (USC)
Uterus	Uterine Undifferentiated Carcinoma (UUC)
Uterus	Choriocarcinoma (UCCA)
Uterus	Epithelioid Trophoblastic Tumor (ETT)
Uterus	Molar Pregnancy (MP)
Uterus	Placental Site Trophoblastic Tumor (PSTT)
Uterus	Endometrial Stromal Sarcoma (ESS)
Uterus	Undifferentiated Uterine Sarcoma (UUS)
Uterus	Uterine Adenosarcoma (UAS)
Uterus	Uterine Perivascular Epithelioid Cell Tumor (UPECOMA)
Uterus	Uterine Sarcoma, Other (OUSARC)
Uterus	Uterine Smooth Muscle Tumor (USMT)
Vulva/Vagina	Dysgerminoma (VDYS)
Vulva/Vagina	Embryonal Carcinoma (VOEC)
Vulva/Vagina	Immature Teratoma (VIMT)
Vulva/Vagina	Mature Teratoma (VMT)
Vulva/Vagina	Mixed Germ Cell Tumor (VMGCT)
Vulva/Vagina	Polyembryoma (VPE)
Vulva/Vagina	Yolk Sac Tumor (VYST)
Blood	B-Cell Acute Lymphoid Leukemia (BALL)
Blood	T-Cell Acute Lymphoid Leukemia (TALL)
Breast	Benign Phyllodes Tumor of the Breast (BPT)
Breast	Borderline Phyllodes Tumor of the Breast (BLPT)
Breast	Malignant Phyllodes Tumor of the Breast (MPT)
Breast	Metaplastic Adenocarcinoma with Spindle Cell Differentiation (MASCC)
Breast	Metaplastic Adenosquamous Carcinoma (MASC)
Breast	Metaplastic Squamous Cell Carcinoma (MSCC)
Breast	Carcinoma with Chondroid Metaplasia (CCHM)
Breast	Carcinoma with Osseous Metaplasia (COM)
Breast	Metaplastic Carcinosarcoma (MCS)
CNS/Brain	Glioblastoma Multiforme (GBM)
CNS/Brain	Gliosarcoma (GSARC)
CNS/Brain	Small Cell Glioblastoma (SCGBM)
Cervix	Gastric Type Mucinous Carcinoma (GCEMU)
Cervix	Intestinal Type Mucinous Carcinoma (ICEMU)
Cervix	Signet Ring Mucinous Carcinoma (SCEMU)
Esophagus/Stomach	Diffuse Type Stomach Adenocarcinoma (DSTAD)
Esophagus/Stomach	Intestinal Type Stomach Adenocarcinoma (ISTAD)
Esophagus/Stomach	Mucinous Stomach Adenocarcinoma (MSTAD)
Esophagus/Stomach	Papillary Stomach Adenocarcinoma (PSTAD)
Esophagus/Stomach	Tubular Stomach Adenocarcinoma (TSTAD)
Esophagus/Stomach	Poorly Differentiated Carcinoma of the Stomach (SPDAC)
Esophagus/Stomach	Signet Ring Cell Carcinoma of the Stomach (SSRCC)
Head and Neck	Clear Cell Odontogenic Carcinoma (CCOC)
Kidney	Renal Clear Cell Carcinoma with Sarcomatoid Features (SCCRCC)
Kidney	Chromophobe Renal Cell Carcinoma (CHRCC)
Kidney	Clear Cell Papillary Renal Cell Carcinoma (CCPRC)
Kidney	Collecting Duct Renal Cell Carcinoma (CDRCC)
Kidney	Papillary Renal Cell Carcinoma (PRCC)
Kidney	Renal Angiomyolipoma (RAML)
Kidney	Renal Medullary Carcinoma (MRC)
Kidney	Renal Mucinous Tubular Spindle Cell Carcinoma (MTSCC)
Kidney	Renal Oncocytoma (ROCY)
Kidney	Renal Small Cell Carcinoma (RSCC)
Kidney	Sarcomatoid Renal Cell Carcinoma (SRCC)
Kidney	Translocation-Associated Renal Cell Carcinoma (TRCC)
Kidney	Unclassified Renal Cell Carcinoma (URCC)
Lung	Basaloid Large Cell Carcinoma of the Lung (BLCLC)
Lung	Clear Cell Carcinoma of the Lung (CCLC)
Lung	Giant Cell Carcinoma of the Lung (GCLC)
Lung	Large Cell Lung Carcinoma With Rhabdoid Phenotype (RLCLC)
Lung	Lymphoepithelioma-like Carcinoma of the Lung (LECLC)
Lung	Adenoid Cystic Carcinoma of the Lung (LUACC)
Lung	Mucoepidermoid Carcinoma of the Lung (LUMEC)
Lymph	Burkitt Lymphoma (BL)
Lymph	Diffuse Large B-Cell Lymphoma (DLBCL)
Lymph	Extranodal Marginal Zone Lymphoma (MALTL)
Lymph	Follicular Lymphoma (FL)
Lymph	Mantle Cell Lymphoma (MCL)
Lymph	Marginal Zone Lymphoma (MZL)
Lymph	Mediastinal Large B-Cell Lymphoma (MBCL)
Lymph	Nodal Marginal Zone Lymphoma (NMZL)
Lymph	Primary CNS Lymphoma (PCNSL)
Lymph	Primary Effusion Lymphoma (PEL)
Lymph	Small Lymphocytic Lymphoma (SLL)
Lymph	Splenic Marginal Zone Lymphoma (SMZL)
Lymph	Waldenstrom Macroglobulinemia (WM)
Lymph	Cutaneous T-Cell Lymphoma (CTCL)
Lymph	Peripheral T-Cell Lymphoma (PTCL)
Ovary/Fallopian Tube	Brenner Tumor, Benign (BTBEOV)
Ovary/Fallopian Tube	Brenner Tumor, Borderline (BTBOV)
Ovary/Fallopian Tube	Brenner Tumor, Malignant (BTMOV)
Ovary/Fallopian Tube	High-Grade Serous Ovarian Cancer (HGSOC)
Ovary/Fallopian Tube	Low-Grade Serous Ovarian Cancer (LGSOC)
Peripheral Nervous System	Cellular Schwannoma (CSCHW)
Peripheral Nervous System	Melanotic Schwannoma (MSCHW)
Uterus	Complete Hydatidiform Mole (CHM)
Uterus	Invasive Hydatidiform Mole (IHM)
Uterus	Partial Hydatidiform Mole (PHM)
Uterus	High-Grade Endometrial Stromal Sarcoma (HGESS)
Uterus	Low-Grade Endometrial Stromal Sarcoma (LGESS)
Uterus	Uterine Epithelioid Leiomyosarcoma (UELMS)
Uterus	Uterine Leiomyoma (ULM)
Uterus	Uterine Leiomyosarcoma (ULMS)
Uterus	Uterine Myxoid Leiomyosarcoma (UMLMS)
Uterus	Uterine Smooth Muscle Tumor of Uncertain Malignant Potential (USTUMP)
Lymph	Mycosis Fungoides (MYCF)
Lymph	Sezary Syndrome (SEZS)
Lymph	Anaplastic Large Cell Lymphoma (ALCL)
Lymph	Angioimmunoblastic T-Cell Lymphoma (AITL)
Lymph	Peripheral T-Cell Lymphoma, NOS (PTCLNOS)
